Datum;Gästnätter i snitt per dag
2021-10-17;20 516
2021-10-18;26 128
2021-10-19;30 224
2021-10-20;31 203
2021-10-21;30 689
2021-10-22;40 366
2021-10-23;45 510
2021-10-24;20 399
2021-10-25;25 873
2021-10-26;29 255
2021-10-27;30 347
2021-10-28;28 613
2021-10-29;38 699
2021-10-30;48 777
2021-10-31;27 132
2021-11-01;30 688
2021-11-02;31 977
2021-11-03;34 126
2021-11-04;40 787
2021-11-05;53 162
2021-11-06;52 739
2021-11-07;22 264
2021-11-08;25 591
2021-11-09;30 179
2021-11-10;31 790
2021-11-11;31 444
2021-11-12;39 817
2021-11-13;46 891
2021-11-14;20 024
2021-11-15;26 514
2021-11-16;31 328
2021-11-17;31 987
2021-11-18;32 680
2021-11-19;41 332
2021-11-20;46 779
2021-11-21;20 521
2021-11-22;26 584
2021-11-23;31 096
2021-11-24;33 337
2021-11-25;34 644
2021-11-26;47 255
2021-11-27;53 924
2021-11-28;21 111
2021-11-29;26 198
2021-11-30;29 642
2021-12-01;32 211
2021-12-02;32 805
2021-12-03;43 535
2021-12-04;49 210
2021-12-05;20 562
2021-12-06;24 156
2021-12-07;27 317
2021-12-08;27 722
2021-12-09;27 097
2021-12-10;37 910
2021-12-11;41 807
2021-12-12;17 825
2021-12-13;19 632
2021-12-14;21 948
2021-12-15;21 928
2021-12-16;20 959
2021-12-17;27 483
2021-12-18;30 525
2021-12-19;16 035
2021-12-20;16 729
2021-12-21;16 174
2021-12-22;15 273
2021-12-23;17 472
2021-12-24;20 601
2021-12-25;19 724
2021-12-26;19 194
2021-12-27;22 207
2021-12-28;22 974
2021-12-29;22 145
2021-12-30;22 413
2021-12-31;38 676
2022-01-01;22 191
2022-01-02;16 268
2022-01-03;16 736
2022-01-04;16 542
2022-01-05;17 196
2022-01-06;18 391
2022-01-07;22 003
2022-01-08;20 870
2022-01-09;11 375
2022-01-10;13 434
2022-01-11;14 545
2022-01-12;14 396
2022-01-13;13 378
2022-01-14;16 470
2022-01-15;18 872
2022-01-16;11 410
2022-01-17;13 545
2022-01-18;14 072
2022-01-19;14 252
2022-01-20;13 708
2022-01-21;16 870
2022-01-22;19 175
2022-01-23;11 550
2022-01-24;13 681
2022-01-25;15 140
2022-01-26;15 243
2022-01-27;14 520
2022-01-28;20 197
2022-01-29;24 172
2022-01-30;12 497
2022-01-31;13 833
2022-02-01;15 068
2022-02-02;15 329
2022-02-03;14 673
2022-02-04;20 136
2022-02-05;24 173
2022-02-06;13 113
2022-02-07;16 286
2022-02-08;18 048
2022-02-09;18 531
2022-02-10;17 509
2022-02-11;24 363
2022-02-12;30 709
2022-02-13;16 728
2022-02-14;20 559
2022-02-15;20 494
2022-02-16;20 967
2022-02-17;20 607
2022-02-18;28 253
2022-02-19;33 187
2022-02-20;17 880
2022-02-21;21 698
2022-02-22;22 807
2022-02-23;23 527
2022-02-24;23 504
2022-02-25;35 392
2022-02-26;36 894
2022-02-27;17 366
2022-02-28;19 254
2022-03-01;21 798
2022-03-02;22 228
2022-03-03;22 895
2022-03-04;30 931
2022-03-05;33 266
2022-03-06;16 638
2022-03-07;22 178
2022-03-08;25 960
2022-03-09;26 498
2022-03-10;24 511
2022-03-11;35 328
2022-03-12;42 895
2022-03-13;18 626
2022-03-14;24 717
2022-03-15;29 066
2022-03-16;28 624
2022-03-17;26 186
2022-03-18;33 323
2022-03-19;38 740
2022-03-20;18 267
2022-03-21;25 057
2022-03-22;29 547
2022-03-23;30 894
2022-03-24;37 493
2022-03-25;40 812
2022-03-26;44 489
2022-03-27;20 415
2022-03-28;26 638
2022-03-29;30 160
2022-03-30;30 511
2022-03-31;29 022
2022-04-01;40 209
2022-04-02;44 532
2022-04-03;21 065
2022-04-04;29 386
2022-04-05;34 453
2022-04-06;34 550
2022-04-07;31 753
2022-04-08;36 169
2022-04-09;42 658
2022-04-10;24 587
2022-04-11;27 752
2022-04-12;28 055
2022-04-13;27 127
2022-04-14;34 222
2022-04-15;44 277
2022-04-16;42 985
2022-04-17;29 870
2022-04-18;19 833
2022-04-19;27 931
2022-04-20;33 201
2022-04-21;34 015
2022-04-22;42 170
2022-04-23;48 386
2022-04-24;24 701
2022-04-25;35 789
2022-04-26;44 213
2022-04-27;43 996
2022-04-28;40 663
2022-04-29;44 191
