"flight_date","total_landings"
"2021-04-25 00:00:00.000 Europe/Stockholm","89"
"2021-04-26 00:00:00.000 Europe/Stockholm","287"
"2021-04-27 00:00:00.000 Europe/Stockholm","110"
"2021-04-28 00:00:00.000 Europe/Stockholm","146"
"2021-04-29 00:00:00.000 Europe/Stockholm","148"
"2021-04-30 00:00:00.000 Europe/Stockholm","81"
"2021-05-01 00:00:00.000 Europe/Stockholm","42"
"2021-05-02 00:00:00.000 Europe/Stockholm","74"
"2021-05-03 00:00:00.000 Europe/Stockholm","162"
"2021-05-04 00:00:00.000 Europe/Stockholm","104"
"2021-05-05 00:00:00.000 Europe/Stockholm","250"
"2021-05-06 00:00:00.000 Europe/Stockholm","276"
"2021-05-07 00:00:00.000 Europe/Stockholm","91"
"2021-05-08 00:00:00.000 Europe/Stockholm","42"
"2021-05-09 00:00:00.000 Europe/Stockholm","150"
"2021-05-10 00:00:00.000 Europe/Stockholm","81"
"2021-05-11 00:00:00.000 Europe/Stockholm","158"
"2021-05-12 00:00:00.000 Europe/Stockholm","84"
"2021-05-13 00:00:00.000 Europe/Stockholm","138"
"2021-05-14 00:00:00.000 Europe/Stockholm","62"
"2021-05-15 00:00:00.000 Europe/Stockholm","97"
"2021-05-16 00:00:00.000 Europe/Stockholm","184"
"2021-05-17 00:00:00.000 Europe/Stockholm","248"
"2021-05-18 00:00:00.000 Europe/Stockholm","59"
"2021-05-19 00:00:00.000 Europe/Stockholm","140"
"2021-05-20 00:00:00.000 Europe/Stockholm","541"
"2021-05-21 00:00:00.000 Europe/Stockholm","198"
"2021-05-22 00:00:00.000 Europe/Stockholm","108"
"2021-05-23 00:00:00.000 Europe/Stockholm","158"
"2021-05-24 00:00:00.000 Europe/Stockholm","158"
"2021-05-25 00:00:00.000 Europe/Stockholm","60"
"2021-05-26 00:00:00.000 Europe/Stockholm","135"
"2021-05-27 00:00:00.000 Europe/Stockholm","158"
"2021-05-28 00:00:00.000 Europe/Stockholm","198"
"2021-05-29 00:00:00.000 Europe/Stockholm","54"
"2021-05-30 00:00:00.000 Europe/Stockholm","88"
"2021-05-31 00:00:00.000 Europe/Stockholm","85"
"2021-06-01 00:00:00.000 Europe/Stockholm","136"
"2021-06-02 00:00:00.000 Europe/Stockholm","180"
"2021-06-03 00:00:00.000 Europe/Stockholm","370"
"2021-06-04 00:00:00.000 Europe/Stockholm","200"
"2021-06-05 00:00:00.000 Europe/Stockholm","71"
"2021-06-06 00:00:00.000 Europe/Stockholm","400"
"2021-06-07 00:00:00.000 Europe/Stockholm","97"
"2021-06-08 00:00:00.000 Europe/Stockholm","125"
"2021-06-09 00:00:00.000 Europe/Stockholm","84"
"2021-06-10 00:00:00.000 Europe/Stockholm","94"
"2021-06-11 00:00:00.000 Europe/Stockholm","327"
"2021-06-12 00:00:00.000 Europe/Stockholm","69"
"2021-06-13 00:00:00.000 Europe/Stockholm","204"
"2021-06-14 00:00:00.000 Europe/Stockholm","202"
"2021-06-15 00:00:00.000 Europe/Stockholm","168"
"2021-06-16 00:00:00.000 Europe/Stockholm","208"
"2021-06-17 00:00:00.000 Europe/Stockholm","220"
"2021-06-18 00:00:00.000 Europe/Stockholm","246"
"2021-06-19 00:00:00.000 Europe/Stockholm","159"
"2021-06-20 00:00:00.000 Europe/Stockholm","222"
"2021-06-21 00:00:00.000 Europe/Stockholm","210"
"2021-06-22 00:00:00.000 Europe/Stockholm","162"
"2021-06-23 00:00:00.000 Europe/Stockholm","200"
"2021-06-24 00:00:00.000 Europe/Stockholm","248"
"2021-06-25 00:00:00.000 Europe/Stockholm","246"
"2021-06-26 00:00:00.000 Europe/Stockholm","641"
"2021-06-27 00:00:00.000 Europe/Stockholm","292"
"2021-06-28 00:00:00.000 Europe/Stockholm","254"
"2021-06-29 00:00:00.000 Europe/Stockholm","212"
"2021-06-30 00:00:00.000 Europe/Stockholm","466"
"2021-07-01 00:00:00.000 Europe/Stockholm","154"
"2021-07-02 00:00:00.000 Europe/Stockholm","260"
"2021-07-03 00:00:00.000 Europe/Stockholm","109"
"2021-07-04 00:00:00.000 Europe/Stockholm","150"
"2021-07-05 00:00:00.000 Europe/Stockholm","131"
"2021-07-06 00:00:00.000 Europe/Stockholm","117"
"2021-07-07 00:00:00.000 Europe/Stockholm","246"
"2021-07-08 00:00:00.000 Europe/Stockholm","142"
"2021-07-09 00:00:00.000 Europe/Stockholm","138"
"2021-07-10 00:00:00.000 Europe/Stockholm","113"
"2021-07-11 00:00:00.000 Europe/Stockholm","150"
"2021-07-12 00:00:00.000 Europe/Stockholm","635"
"2021-07-13 00:00:00.000 Europe/Stockholm","137"
"2021-07-14 00:00:00.000 Europe/Stockholm","259"
"2021-07-15 00:00:00.000 Europe/Stockholm","142"
"2021-07-16 00:00:00.000 Europe/Stockholm","139"
"2021-07-17 00:00:00.000 Europe/Stockholm","437"
"2021-07-18 00:00:00.000 Europe/Stockholm","709"
"2021-07-19 00:00:00.000 Europe/Stockholm","302"
"2021-07-20 00:00:00.000 Europe/Stockholm","611"
"2021-07-21 00:00:00.000 Europe/Stockholm","302"
"2021-07-22 00:00:00.000 Europe/Stockholm","150"
"2021-07-23 00:00:00.000 Europe/Stockholm","142"
"2021-07-24 00:00:00.000 Europe/Stockholm","225"
"2021-07-25 00:00:00.000 Europe/Stockholm","161"
"2021-07-26 00:00:00.000 Europe/Stockholm","138"
"2021-07-27 00:00:00.000 Europe/Stockholm","121"
"2021-07-28 00:00:00.000 Europe/Stockholm","247"
"2021-07-29 00:00:00.000 Europe/Stockholm","148"
"2021-07-30 00:00:00.000 Europe/Stockholm","290"
"2021-07-31 00:00:00.000 Europe/Stockholm","334"
"2021-08-01 00:00:00.000 Europe/Stockholm","179"
"2021-08-02 00:00:00.000 Europe/Stockholm","1005"
"2021-08-03 00:00:00.000 Europe/Stockholm","294"
"2021-08-04 00:00:00.000 Europe/Stockholm","145"
"2021-08-05 00:00:00.000 Europe/Stockholm","148"
"2021-08-06 00:00:00.000 Europe/Stockholm","158"
"2021-08-07 00:00:00.000 Europe/Stockholm","115"
"2021-08-08 00:00:00.000 Europe/Stockholm","303"
"2021-08-09 00:00:00.000 Europe/Stockholm","151"
"2021-08-10 00:00:00.000 Europe/Stockholm","254"
"2021-08-11 00:00:00.000 Europe/Stockholm","146"
"2021-08-12 00:00:00.000 Europe/Stockholm","147"
"2021-08-13 00:00:00.000 Europe/Stockholm","455"
"2021-08-14 00:00:00.000 Europe/Stockholm","342"
"2021-08-15 00:00:00.000 Europe/Stockholm","653"
"2021-08-16 00:00:00.000 Europe/Stockholm","344"
"2021-08-17 00:00:00.000 Europe/Stockholm","367"
"2021-08-18 00:00:00.000 Europe/Stockholm","156"
"2021-08-19 00:00:00.000 Europe/Stockholm","155"
"2021-08-20 00:00:00.000 Europe/Stockholm","151"
"2021-08-21 00:00:00.000 Europe/Stockholm","107"
"2021-08-22 00:00:00.000 Europe/Stockholm","300"
"2021-08-23 00:00:00.000 Europe/Stockholm","451"
"2021-08-24 00:00:00.000 Europe/Stockholm","122"
"2021-08-25 00:00:00.000 Europe/Stockholm","148"
"2021-08-26 00:00:00.000 Europe/Stockholm","441"
"2021-08-27 00:00:00.000 Europe/Stockholm","155"
"2021-08-28 00:00:00.000 Europe/Stockholm","207"
"2021-08-29 00:00:00.000 Europe/Stockholm","320"
"2021-08-30 00:00:00.000 Europe/Stockholm","340"
"2021-08-31 00:00:00.000 Europe/Stockholm","290"
"2021-09-01 00:00:00.000 Europe/Stockholm","318"
"2021-09-02 00:00:00.000 Europe/Stockholm","680"
"2021-09-03 00:00:00.000 Europe/Stockholm","183"
"2021-09-04 00:00:00.000 Europe/Stockholm","315"
"2021-09-05 00:00:00.000 Europe/Stockholm","187"
"2021-09-06 00:00:00.000 Europe/Stockholm","171"
"2021-09-07 00:00:00.000 Europe/Stockholm","293"
"2021-09-08 00:00:00.000 Europe/Stockholm","804"
"2021-09-09 00:00:00.000 Europe/Stockholm","354"
"2021-09-10 00:00:00.000 Europe/Stockholm","174"
"2021-09-11 00:00:00.000 Europe/Stockholm","110"
"2021-09-12 00:00:00.000 Europe/Stockholm","323"
"2021-09-13 00:00:00.000 Europe/Stockholm","178"
"2021-09-14 00:00:00.000 Europe/Stockholm","554"
"2021-09-15 00:00:00.000 Europe/Stockholm","170"
"2021-09-16 00:00:00.000 Europe/Stockholm","1017"
"2021-09-17 00:00:00.000 Europe/Stockholm","196"
"2021-09-18 00:00:00.000 Europe/Stockholm","111"
"2021-09-19 00:00:00.000 Europe/Stockholm","328"
"2021-09-20 00:00:00.000 Europe/Stockholm","508"
"2021-09-21 00:00:00.000 Europe/Stockholm","154"
"2021-09-22 00:00:00.000 Europe/Stockholm","164"
"2021-09-23 00:00:00.000 Europe/Stockholm","839"
"2021-09-24 00:00:00.000 Europe/Stockholm","199"
"2021-09-25 00:00:00.000 Europe/Stockholm","112"
"2021-09-26 00:00:00.000 Europe/Stockholm","340"
"2021-09-27 00:00:00.000 Europe/Stockholm","376"
"2021-09-28 00:00:00.000 Europe/Stockholm","148"
"2021-09-29 00:00:00.000 Europe/Stockholm","331"
"2021-09-30 00:00:00.000 Europe/Stockholm","362"
"2021-10-01 00:00:00.000 Europe/Stockholm","191"
"2021-10-02 00:00:00.000 Europe/Stockholm","624"
"2021-10-03 00:00:00.000 Europe/Stockholm","225"
"2021-10-04 00:00:00.000 Europe/Stockholm","347"
"2021-10-05 00:00:00.000 Europe/Stockholm","152"
"2021-10-06 00:00:00.000 Europe/Stockholm","509"
"2021-10-07 00:00:00.000 Europe/Stockholm","182"
"2021-10-08 00:00:00.000 Europe/Stockholm","183"
"2021-10-09 00:00:00.000 Europe/Stockholm","318"
"2021-10-10 00:00:00.000 Europe/Stockholm","333"
"2021-10-11 00:00:00.000 Europe/Stockholm","187"
"2021-10-12 00:00:00.000 Europe/Stockholm","596"
"2021-10-13 00:00:00.000 Europe/Stockholm","173"
"2021-10-14 00:00:00.000 Europe/Stockholm","377"
"2021-10-15 00:00:00.000 Europe/Stockholm","184"
"2021-10-16 00:00:00.000 Europe/Stockholm","108"
"2021-10-17 00:00:00.000 Europe/Stockholm","647"
"2021-10-18 00:00:00.000 Europe/Stockholm","382"
"2021-10-19 00:00:00.000 Europe/Stockholm","146"
"2021-10-20 00:00:00.000 Europe/Stockholm","313"
"2021-10-21 00:00:00.000 Europe/Stockholm","537"
"2021-10-22 00:00:00.000 Europe/Stockholm","195"
"2021-10-23 00:00:00.000 Europe/Stockholm","107"
"2021-10-24 00:00:00.000 Europe/Stockholm","839"
"2021-10-25 00:00:00.000 Europe/Stockholm","208"
"2021-10-26 00:00:00.000 Europe/Stockholm","310"
"2021-10-27 00:00:00.000 Europe/Stockholm","1004"
"2021-10-28 00:00:00.000 Europe/Stockholm","207"
"2021-10-29 00:00:00.000 Europe/Stockholm","197"
"2021-10-30 00:00:00.000 Europe/Stockholm","260"
"2021-10-31 00:00:00.000 Europe/Stockholm","410"
"2021-11-01 00:00:00.000 Europe/Stockholm","214"
"2021-11-02 00:00:00.000 Europe/Stockholm","178"
"2021-11-03 00:00:00.000 Europe/Stockholm","356"
"2021-11-04 00:00:00.000 Europe/Stockholm","196"
"2021-11-05 00:00:00.000 Europe/Stockholm","400"
"2021-11-06 00:00:00.000 Europe/Stockholm","302"
"2021-11-07 00:00:00.000 Europe/Stockholm","419"
"2021-11-08 00:00:00.000 Europe/Stockholm","1012"
"2021-11-09 00:00:00.000 Europe/Stockholm","189"
"2021-11-10 00:00:00.000 Europe/Stockholm","379"
"2021-11-11 00:00:00.000 Europe/Stockholm","596"
"2021-11-12 00:00:00.000 Europe/Stockholm","209"
"2021-11-13 00:00:00.000 Europe/Stockholm","112"
"2021-11-14 00:00:00.000 Europe/Stockholm","182"
"2021-11-15 00:00:00.000 Europe/Stockholm","193"
"2021-11-16 00:00:00.000 Europe/Stockholm","520"
"2021-11-17 00:00:00.000 Europe/Stockholm","751"
"2021-11-18 00:00:00.000 Europe/Stockholm","580"
"2021-11-19 00:00:00.000 Europe/Stockholm","403"
"2021-11-20 00:00:00.000 Europe/Stockholm","307"
"2021-11-21 00:00:00.000 Europe/Stockholm","201"
"2021-11-22 00:00:00.000 Europe/Stockholm","201"
"2021-11-23 00:00:00.000 Europe/Stockholm","177"
"2021-11-24 00:00:00.000 Europe/Stockholm","184"
"2021-11-25 00:00:00.000 Europe/Stockholm","370"
"2021-11-26 00:00:00.000 Europe/Stockholm","1174"
"2021-11-27 00:00:00.000 Europe/Stockholm","228"
"2021-11-28 00:00:00.000 Europe/Stockholm","185"
"2021-11-29 00:00:00.000 Europe/Stockholm","197"
"2021-11-30 00:00:00.000 Europe/Stockholm","168"
"2021-12-01 00:00:00.000 Europe/Stockholm","198"
"2021-12-02 00:00:00.000 Europe/Stockholm","202"
"2021-12-03 00:00:00.000 Europe/Stockholm","997"
"2021-12-04 00:00:00.000 Europe/Stockholm","108"
"2021-12-05 00:00:00.000 Europe/Stockholm","174"
"2021-12-06 00:00:00.000 Europe/Stockholm","588"
"2021-12-07 00:00:00.000 Europe/Stockholm","353"
"2021-12-08 00:00:00.000 Europe/Stockholm","395"
"2021-12-09 00:00:00.000 Europe/Stockholm","200"
"2021-12-10 00:00:00.000 Europe/Stockholm","626"
"2021-12-11 00:00:00.000 Europe/Stockholm","358"
"2021-12-12 00:00:00.000 Europe/Stockholm","188"
"2021-12-13 00:00:00.000 Europe/Stockholm","199"
"2021-12-14 00:00:00.000 Europe/Stockholm","175"
"2021-12-15 00:00:00.000 Europe/Stockholm","976"
"2021-12-16 00:00:00.000 Europe/Stockholm","461"
"2021-12-17 00:00:00.000 Europe/Stockholm","652"
"2021-12-18 00:00:00.000 Europe/Stockholm","156"
"2021-12-19 00:00:00.000 Europe/Stockholm","366"
"2021-12-20 00:00:00.000 Europe/Stockholm","224"
"2021-12-21 00:00:00.000 Europe/Stockholm","193"
"2021-12-22 00:00:00.000 Europe/Stockholm","419"
"2021-12-23 00:00:00.000 Europe/Stockholm","219"
"2021-12-24 00:00:00.000 Europe/Stockholm","699"
"2021-12-25 00:00:00.000 Europe/Stockholm","86"
"2021-12-26 00:00:00.000 Europe/Stockholm","187"
"2021-12-27 00:00:00.000 Europe/Stockholm","415"
"2021-12-28 00:00:00.000 Europe/Stockholm","195"
"2021-12-29 00:00:00.000 Europe/Stockholm","367"
"2021-12-30 00:00:00.000 Europe/Stockholm","738"
"2021-12-31 00:00:00.000 Europe/Stockholm","240"
"2022-01-01 00:00:00.000 Europe/Stockholm","206"
"2022-01-02 00:00:00.000 Europe/Stockholm","370"
"2022-01-03 00:00:00.000 Europe/Stockholm","404"
"2022-01-04 00:00:00.000 Europe/Stockholm","508"
"2022-01-05 00:00:00.000 Europe/Stockholm","343"
"2022-01-06 00:00:00.000 Europe/Stockholm","497"
"2022-01-07 00:00:00.000 Europe/Stockholm","563"
"2022-01-08 00:00:00.000 Europe/Stockholm","272"
"2022-01-09 00:00:00.000 Europe/Stockholm","193"
"2022-01-10 00:00:00.000 Europe/Stockholm","367"
"2022-01-11 00:00:00.000 Europe/Stockholm","288"
"2022-01-12 00:00:00.000 Europe/Stockholm","290"
"2022-01-13 00:00:00.000 Europe/Stockholm","290"
"2022-01-14 00:00:00.000 Europe/Stockholm","328"
"2022-01-15 00:00:00.000 Europe/Stockholm","212"
"2022-01-16 00:00:00.000 Europe/Stockholm","307"
"2022-01-17 00:00:00.000 Europe/Stockholm","1117"
"2022-01-18 00:00:00.000 Europe/Stockholm","263"
"2022-01-19 00:00:00.000 Europe/Stockholm","243"
"2022-01-20 00:00:00.000 Europe/Stockholm","143"
"2022-01-21 00:00:00.000 Europe/Stockholm","157"
"2022-01-22 00:00:00.000 Europe/Stockholm","403"
"2022-01-23 00:00:00.000 Europe/Stockholm","141"
"2022-01-24 00:00:00.000 Europe/Stockholm","592"
"2022-01-25 00:00:00.000 Europe/Stockholm","216"
"2022-01-26 00:00:00.000 Europe/Stockholm","126"
"2022-01-27 00:00:00.000 Europe/Stockholm","136"
"2022-01-28 00:00:00.000 Europe/Stockholm","305"
"2022-01-29 00:00:00.000 Europe/Stockholm","114"
"2022-01-30 00:00:00.000 Europe/Stockholm","252"
"2022-01-31 00:00:00.000 Europe/Stockholm","152"
"2022-02-01 00:00:00.000 Europe/Stockholm","125"
"2022-02-02 00:00:00.000 Europe/Stockholm","269"
"2022-02-03 00:00:00.000 Europe/Stockholm","304"
"2022-02-04 00:00:00.000 Europe/Stockholm","469"
"2022-02-05 00:00:00.000 Europe/Stockholm","353"
"2022-02-06 00:00:00.000 Europe/Stockholm","459"
"2022-02-07 00:00:00.000 Europe/Stockholm","307"
"2022-02-08 00:00:00.000 Europe/Stockholm","692"
"2022-02-09 00:00:00.000 Europe/Stockholm","130"
"2022-02-10 00:00:00.000 Europe/Stockholm","290"
"2022-02-11 00:00:00.000 Europe/Stockholm","821"
"2022-02-12 00:00:00.000 Europe/Stockholm","133"
"2022-02-13 00:00:00.000 Europe/Stockholm","169"
"2022-02-14 00:00:00.000 Europe/Stockholm","906"
"2022-02-15 00:00:00.000 Europe/Stockholm","399"
"2022-02-16 00:00:00.000 Europe/Stockholm","281"
"2022-02-17 00:00:00.000 Europe/Stockholm","154"
"2022-02-18 00:00:00.000 Europe/Stockholm","166"
"2022-02-19 00:00:00.000 Europe/Stockholm","743"
"2022-02-20 00:00:00.000 Europe/Stockholm","352"
"2022-02-21 00:00:00.000 Europe/Stockholm","158"
"2022-02-22 00:00:00.000 Europe/Stockholm","140"
"2022-02-23 00:00:00.000 Europe/Stockholm","148"
"2022-02-24 00:00:00.000 Europe/Stockholm","482"
"2022-02-25 00:00:00.000 Europe/Stockholm","373"
"2022-02-26 00:00:00.000 Europe/Stockholm","316"
"2022-02-27 00:00:00.000 Europe/Stockholm","187"
"2022-02-28 00:00:00.000 Europe/Stockholm","366"
"2022-03-01 00:00:00.000 Europe/Stockholm","148"
"2022-03-02 00:00:00.000 Europe/Stockholm","324"
"2022-03-03 00:00:00.000 Europe/Stockholm","512"
"2022-03-04 00:00:00.000 Europe/Stockholm","382"
"2022-03-05 00:00:00.000 Europe/Stockholm","663"
"2022-03-06 00:00:00.000 Europe/Stockholm","195"
"2022-03-07 00:00:00.000 Europe/Stockholm","523"
"2022-03-08 00:00:00.000 Europe/Stockholm","305"
"2022-03-09 00:00:00.000 Europe/Stockholm","161"
"2022-03-10 00:00:00.000 Europe/Stockholm","482"
"2022-03-11 00:00:00.000 Europe/Stockholm","552"
"2022-03-12 00:00:00.000 Europe/Stockholm","134"
"2022-03-13 00:00:00.000 Europe/Stockholm","176"
"2022-03-14 00:00:00.000 Europe/Stockholm","352"
"2022-03-15 00:00:00.000 Europe/Stockholm","148"
"2022-03-16 00:00:00.000 Europe/Stockholm","164"
"2022-03-17 00:00:00.000 Europe/Stockholm","692"
"2022-03-18 00:00:00.000 Europe/Stockholm","755"
"2022-03-19 00:00:00.000 Europe/Stockholm","146"
"2022-03-20 00:00:00.000 Europe/Stockholm","718"
"2022-03-21 00:00:00.000 Europe/Stockholm","189"
"2022-03-22 00:00:00.000 Europe/Stockholm","144"
"2022-03-23 00:00:00.000 Europe/Stockholm","174"
"2022-03-24 00:00:00.000 Europe/Stockholm","528"
"2022-03-25 00:00:00.000 Europe/Stockholm","576"
"2022-03-26 00:00:00.000 Europe/Stockholm","285"
"2022-03-27 00:00:00.000 Europe/Stockholm","459"
"2022-03-28 00:00:00.000 Europe/Stockholm","502"
"2022-03-29 00:00:00.000 Europe/Stockholm","408"
"2022-03-30 00:00:00.000 Europe/Stockholm","442"
"2022-03-31 00:00:00.000 Europe/Stockholm","1544"
"2022-04-01 00:00:00.000 Europe/Stockholm","1054"
"2022-04-02 00:00:00.000 Europe/Stockholm","684"
"2022-04-03 00:00:00.000 Europe/Stockholm","488"
"2022-04-04 00:00:00.000 Europe/Stockholm","908"
"2022-04-05 00:00:00.000 Europe/Stockholm","420"
"2022-04-06 00:00:00.000 Europe/Stockholm","238"
"2022-04-07 00:00:00.000 Europe/Stockholm","714"
"2022-04-08 00:00:00.000 Europe/Stockholm","257"
"2022-04-09 00:00:00.000 Europe/Stockholm","661"
"2022-04-10 00:00:00.000 Europe/Stockholm","275"
"2022-04-11 00:00:00.000 Europe/Stockholm","248"
"2022-04-12 00:00:00.000 Europe/Stockholm","1049"
"2022-04-13 00:00:00.000 Europe/Stockholm","280"
"2022-04-14 00:00:00.000 Europe/Stockholm","449"
"2022-04-15 00:00:00.000 Europe/Stockholm","204"
"2022-04-16 00:00:00.000 Europe/Stockholm","288"
"2022-04-17 00:00:00.000 Europe/Stockholm","864"
"2022-04-18 00:00:00.000 Europe/Stockholm","735"
"2022-04-19 00:00:00.000 Europe/Stockholm","741"
"2022-04-20 00:00:00.000 Europe/Stockholm","500"
"2022-04-21 00:00:00.000 Europe/Stockholm","492"
"2022-04-22 00:00:00.000 Europe/Stockholm","507"
"2022-04-23 00:00:00.000 Europe/Stockholm","330"
"2022-04-24 00:00:00.000 Europe/Stockholm","475"
"2022-04-25 00:00:00.000 Europe/Stockholm","522"
"2022-04-26 00:00:00.000 Europe/Stockholm","232"
"2022-04-27 00:00:00.000 Europe/Stockholm","699"
"2022-04-28 00:00:00.000 Europe/Stockholm","726"
"2022-04-29 00:00:00.000 Europe/Stockholm","542"
"2022-04-30 00:00:00.000 Europe/Stockholm","317"
"2022-05-01 00:00:00.000 Europe/Stockholm","498"
"2022-05-02 00:00:00.000 Europe/Stockholm","2064"
"2022-05-03 00:00:00.000 Europe/Stockholm","510"
"2022-05-04 00:00:00.000 Europe/Stockholm","270"
"2022-05-05 00:00:00.000 Europe/Stockholm","259"
"2022-05-06 00:00:00.000 Europe/Stockholm","1109"
"2022-05-07 00:00:00.000 Europe/Stockholm","373"
"2022-05-08 00:00:00.000 Europe/Stockholm","727"
"2022-05-09 00:00:00.000 Europe/Stockholm","561"
"2022-05-10 00:00:00.000 Europe/Stockholm","724"
"2022-05-11 00:00:00.000 Europe/Stockholm","284"
"2022-05-12 00:00:00.000 Europe/Stockholm","527"
"2022-05-13 00:00:00.000 Europe/Stockholm","568"
"2022-05-14 00:00:00.000 Europe/Stockholm","356"
"2022-05-15 00:00:00.000 Europe/Stockholm","269"
"2022-05-16 00:00:00.000 Europe/Stockholm","274"
"2022-05-17 00:00:00.000 Europe/Stockholm","469"
"2022-05-18 00:00:00.000 Europe/Stockholm","272"
"2022-05-19 00:00:00.000 Europe/Stockholm","552"
"2022-05-20 00:00:00.000 Europe/Stockholm","300"
"2022-05-21 00:00:00.000 Europe/Stockholm","707"
"2022-05-22 00:00:00.000 Europe/Stockholm","308"
"2022-05-23 00:00:00.000 Europe/Stockholm","530"
"2022-05-24 00:00:00.000 Europe/Stockholm","265"
"2022-05-25 00:00:00.000 Europe/Stockholm","531"
"2022-05-26 00:00:00.000 Europe/Stockholm","1402"
"2022-05-27 00:00:00.000 Europe/Stockholm","265"
"2022-05-28 00:00:00.000 Europe/Stockholm","189"
"2022-05-29 00:00:00.000 Europe/Stockholm","740"
"2022-05-30 00:00:00.000 Europe/Stockholm","318"
"2022-05-31 00:00:00.000 Europe/Stockholm","741"
"2022-06-01 00:00:00.000 Europe/Stockholm","592"
"2022-06-02 00:00:00.000 Europe/Stockholm","588"
"2022-06-03 00:00:00.000 Europe/Stockholm","598"
"2022-06-04 00:00:00.000 Europe/Stockholm","213"
"2022-06-05 00:00:00.000 Europe/Stockholm","262"
"2022-06-06 00:00:00.000 Europe/Stockholm","803"
"2022-06-07 00:00:00.000 Europe/Stockholm","572"
"2022-06-08 00:00:00.000 Europe/Stockholm","575"
"2022-06-09 00:00:00.000 Europe/Stockholm","1122"
"2022-06-10 00:00:00.000 Europe/Stockholm","1148"
"2022-06-11 00:00:00.000 Europe/Stockholm","618"
"2022-06-12 00:00:00.000 Europe/Stockholm","798"
"2022-06-13 00:00:00.000 Europe/Stockholm","309"
"2022-06-14 00:00:00.000 Europe/Stockholm","788"
"2022-06-15 00:00:00.000 Europe/Stockholm","289"
"2022-06-16 00:00:00.000 Europe/Stockholm","812"
"2022-06-17 00:00:00.000 Europe/Stockholm","858"
"2022-06-18 00:00:00.000 Europe/Stockholm","226"
"2022-06-19 00:00:00.000 Europe/Stockholm","257"
"2022-06-20 00:00:00.000 Europe/Stockholm","567"
"2022-06-21 00:00:00.000 Europe/Stockholm","284"
"2022-06-22 00:00:00.000 Europe/Stockholm","1878"
"2022-06-23 00:00:00.000 Europe/Stockholm","342"
"2022-06-24 00:00:00.000 Europe/Stockholm","218"
"2022-06-25 00:00:00.000 Europe/Stockholm","376"
"2022-06-26 00:00:00.000 Europe/Stockholm","486"
"2022-06-27 00:00:00.000 Europe/Stockholm","507"
"2022-06-28 00:00:00.000 Europe/Stockholm","472"
"2022-06-29 00:00:00.000 Europe/Stockholm","719"
"2022-06-30 00:00:00.000 Europe/Stockholm","484"
"2022-07-01 00:00:00.000 Europe/Stockholm","266"
"2022-07-02 00:00:00.000 Europe/Stockholm","1000"
"2022-07-03 00:00:00.000 Europe/Stockholm","822"
"2022-07-04 00:00:00.000 Europe/Stockholm","278"
"2022-07-05 00:00:00.000 Europe/Stockholm","978"
"2022-07-06 00:00:00.000 Europe/Stockholm","258"
"2022-07-07 00:00:00.000 Europe/Stockholm","212"
"2022-07-08 00:00:00.000 Europe/Stockholm","455"
"2022-07-09 00:00:00.000 Europe/Stockholm","574"
"2022-07-10 00:00:00.000 Europe/Stockholm","484"
"2022-07-11 00:00:00.000 Europe/Stockholm","238"
"2022-07-12 00:00:00.000 Europe/Stockholm","397"
"2022-07-13 00:00:00.000 Europe/Stockholm","219"
"2022-07-14 00:00:00.000 Europe/Stockholm","411"
"2022-07-15 00:00:00.000 Europe/Stockholm","884"
"2022-07-16 00:00:00.000 Europe/Stockholm","746"
"2022-07-17 00:00:00.000 Europe/Stockholm","463"
"2022-07-18 00:00:00.000 Europe/Stockholm","460"
"2022-07-19 00:00:00.000 Europe/Stockholm","440"
"2022-07-20 00:00:00.000 Europe/Stockholm","675"
"2022-07-21 00:00:00.000 Europe/Stockholm","724"
"2022-07-22 00:00:00.000 Europe/Stockholm","516"
"2022-07-23 00:00:00.000 Europe/Stockholm","216"
"2022-07-24 00:00:00.000 Europe/Stockholm","1096"
"2022-07-25 00:00:00.000 Europe/Stockholm","550"
"2022-07-26 00:00:00.000 Europe/Stockholm","458"
"2022-07-27 00:00:00.000 Europe/Stockholm","708"
"2022-07-28 00:00:00.000 Europe/Stockholm","679"
"2022-07-29 00:00:00.000 Europe/Stockholm","757"
"2022-07-30 00:00:00.000 Europe/Stockholm","428"
"2022-07-31 00:00:00.000 Europe/Stockholm","735"
"2022-08-01 00:00:00.000 Europe/Stockholm","273"
"2022-08-02 00:00:00.000 Europe/Stockholm","236"
"2022-08-03 00:00:00.000 Europe/Stockholm","468"
"2022-08-04 00:00:00.000 Europe/Stockholm","240"
"2022-08-05 00:00:00.000 Europe/Stockholm","716"
"2022-08-06 00:00:00.000 Europe/Stockholm","400"
"2022-08-07 00:00:00.000 Europe/Stockholm","953"
"2022-08-08 00:00:00.000 Europe/Stockholm","293"
"2022-08-09 00:00:00.000 Europe/Stockholm","236"
"2022-08-10 00:00:00.000 Europe/Stockholm","482"
"2022-08-11 00:00:00.000 Europe/Stockholm","250"
"2022-08-12 00:00:00.000 Europe/Stockholm","256"
"2022-08-13 00:00:00.000 Europe/Stockholm","210"
"2022-08-14 00:00:00.000 Europe/Stockholm","1889"
"2022-08-15 00:00:00.000 Europe/Stockholm","902"
"2022-08-16 00:00:00.000 Europe/Stockholm","732"
"2022-08-17 00:00:00.000 Europe/Stockholm","539"
"2022-08-18 00:00:00.000 Europe/Stockholm","258"
