"flight_date","total_landings"
"2020-04-19 00:00:00.000 Europe/Stockholm","29"
"2020-04-20 00:00:00.000 Europe/Stockholm","32"
"2020-04-21 00:00:00.000 Europe/Stockholm","34"
"2020-04-22 00:00:00.000 Europe/Stockholm","35"
"2020-04-23 00:00:00.000 Europe/Stockholm","38"
"2020-04-24 00:00:00.000 Europe/Stockholm","33"
"2020-04-25 00:00:00.000 Europe/Stockholm","17"
"2020-04-26 00:00:00.000 Europe/Stockholm","28"
"2020-04-27 00:00:00.000 Europe/Stockholm","25"
"2020-04-28 00:00:00.000 Europe/Stockholm","30"
"2020-04-29 00:00:00.000 Europe/Stockholm","35"
"2020-04-30 00:00:00.000 Europe/Stockholm","27"
"2020-05-01 00:00:00.000 Europe/Stockholm","19"
"2020-05-02 00:00:00.000 Europe/Stockholm","18"
"2020-05-03 00:00:00.000 Europe/Stockholm","24"
"2020-05-04 00:00:00.000 Europe/Stockholm","29"
"2020-05-05 00:00:00.000 Europe/Stockholm","34"
"2020-05-06 00:00:00.000 Europe/Stockholm","39"
"2020-05-07 00:00:00.000 Europe/Stockholm","40"
"2020-05-08 00:00:00.000 Europe/Stockholm","37"
"2020-05-09 00:00:00.000 Europe/Stockholm","19"
"2020-05-10 00:00:00.000 Europe/Stockholm","25"
"2020-05-11 00:00:00.000 Europe/Stockholm","33"
"2020-05-12 00:00:00.000 Europe/Stockholm","31"
"2020-05-13 00:00:00.000 Europe/Stockholm","36"
"2020-05-14 00:00:00.000 Europe/Stockholm","36"
"2020-05-15 00:00:00.000 Europe/Stockholm","43"
"2020-05-16 00:00:00.000 Europe/Stockholm","22"
"2020-05-17 00:00:00.000 Europe/Stockholm","27"
"2020-05-18 00:00:00.000 Europe/Stockholm","34"
"2020-05-19 00:00:00.000 Europe/Stockholm","37"
"2020-05-20 00:00:00.000 Europe/Stockholm","33"
"2020-05-21 00:00:00.000 Europe/Stockholm","30"
"2020-05-22 00:00:00.000 Europe/Stockholm","34"
"2020-05-23 00:00:00.000 Europe/Stockholm","20"
"2020-05-24 00:00:00.000 Europe/Stockholm","27"
"2020-05-25 00:00:00.000 Europe/Stockholm","35"
"2020-05-26 00:00:00.000 Europe/Stockholm","38"
"2020-05-27 00:00:00.000 Europe/Stockholm","39"
"2020-05-28 00:00:00.000 Europe/Stockholm","35"
"2020-05-29 00:00:00.000 Europe/Stockholm","39"
"2020-05-30 00:00:00.000 Europe/Stockholm","21"
"2020-05-31 00:00:00.000 Europe/Stockholm","24"
"2020-06-01 00:00:00.000 Europe/Stockholm","33"
"2020-06-02 00:00:00.000 Europe/Stockholm","33"
"2020-06-03 00:00:00.000 Europe/Stockholm","38"
"2020-06-04 00:00:00.000 Europe/Stockholm","34"
"2020-06-05 00:00:00.000 Europe/Stockholm","40"
"2020-06-06 00:00:00.000 Europe/Stockholm","19"
"2020-06-07 00:00:00.000 Europe/Stockholm","38"
"2020-06-08 00:00:00.000 Europe/Stockholm","38"
"2020-06-09 00:00:00.000 Europe/Stockholm","42"
"2020-06-10 00:00:00.000 Europe/Stockholm","50"
"2020-06-11 00:00:00.000 Europe/Stockholm","44"
"2020-06-12 00:00:00.000 Europe/Stockholm","43"
"2020-06-13 00:00:00.000 Europe/Stockholm","22"
"2020-06-14 00:00:00.000 Europe/Stockholm","35"
"2020-06-15 00:00:00.000 Europe/Stockholm","44"
"2020-06-16 00:00:00.000 Europe/Stockholm","43"
"2020-06-17 00:00:00.000 Europe/Stockholm","49"
"2020-06-18 00:00:00.000 Europe/Stockholm","50"
"2020-06-19 00:00:00.000 Europe/Stockholm","33"
"2020-06-20 00:00:00.000 Europe/Stockholm","22"
"2020-06-21 00:00:00.000 Europe/Stockholm","43"
"2020-06-22 00:00:00.000 Europe/Stockholm","55"
"2020-06-23 00:00:00.000 Europe/Stockholm","44"
"2020-06-24 00:00:00.000 Europe/Stockholm","56"
"2020-06-25 00:00:00.000 Europe/Stockholm","53"
"2020-06-26 00:00:00.000 Europe/Stockholm","62"
"2020-06-27 00:00:00.000 Europe/Stockholm","29"
"2020-06-28 00:00:00.000 Europe/Stockholm","48"
"2020-06-29 00:00:00.000 Europe/Stockholm","51"
"2020-06-30 00:00:00.000 Europe/Stockholm","49"
"2020-07-01 00:00:00.000 Europe/Stockholm","79"
"2020-07-02 00:00:00.000 Europe/Stockholm","73"
"2020-07-03 00:00:00.000 Europe/Stockholm","87"
"2020-07-04 00:00:00.000 Europe/Stockholm","44"
"2020-07-05 00:00:00.000 Europe/Stockholm","70"
"2020-07-06 00:00:00.000 Europe/Stockholm","73"
"2020-07-07 00:00:00.000 Europe/Stockholm","67"
"2020-07-08 00:00:00.000 Europe/Stockholm","81"
"2020-07-09 00:00:00.000 Europe/Stockholm","74"
"2020-07-10 00:00:00.000 Europe/Stockholm","81"
"2020-07-11 00:00:00.000 Europe/Stockholm","54"
"2020-07-12 00:00:00.000 Europe/Stockholm","67"
"2020-07-13 00:00:00.000 Europe/Stockholm","78"
"2020-07-14 00:00:00.000 Europe/Stockholm","74"
"2020-07-15 00:00:00.000 Europe/Stockholm","79"
"2020-07-16 00:00:00.000 Europe/Stockholm","79"
"2020-07-17 00:00:00.000 Europe/Stockholm","82"
"2020-07-18 00:00:00.000 Europe/Stockholm","56"
"2020-07-19 00:00:00.000 Europe/Stockholm","68"
"2020-07-20 00:00:00.000 Europe/Stockholm","76"
"2020-07-21 00:00:00.000 Europe/Stockholm","71"
"2020-07-22 00:00:00.000 Europe/Stockholm","82"
"2020-07-23 00:00:00.000 Europe/Stockholm","75"
"2020-07-24 00:00:00.000 Europe/Stockholm","82"
"2020-07-25 00:00:00.000 Europe/Stockholm","56"
"2020-07-26 00:00:00.000 Europe/Stockholm","78"
"2020-07-27 00:00:00.000 Europe/Stockholm","79"
"2020-07-28 00:00:00.000 Europe/Stockholm","65"
"2020-07-29 00:00:00.000 Europe/Stockholm","75"
"2020-07-30 00:00:00.000 Europe/Stockholm","71"
"2020-07-31 00:00:00.000 Europe/Stockholm","83"
"2020-08-01 00:00:00.000 Europe/Stockholm","57"
"2020-08-02 00:00:00.000 Europe/Stockholm","94"
"2020-08-03 00:00:00.000 Europe/Stockholm","84"
"2020-08-04 00:00:00.000 Europe/Stockholm","66"
"2020-08-05 00:00:00.000 Europe/Stockholm","89"
"2020-08-06 00:00:00.000 Europe/Stockholm","83"
"2020-08-07 00:00:00.000 Europe/Stockholm","89"
"2020-08-08 00:00:00.000 Europe/Stockholm","56"
"2020-08-09 00:00:00.000 Europe/Stockholm","94"
"2020-08-10 00:00:00.000 Europe/Stockholm","92"
"2020-08-11 00:00:00.000 Europe/Stockholm","78"
"2020-08-12 00:00:00.000 Europe/Stockholm","87"
"2020-08-13 00:00:00.000 Europe/Stockholm","86"
"2020-08-14 00:00:00.000 Europe/Stockholm","93"
"2020-08-15 00:00:00.000 Europe/Stockholm","61"
"2020-08-16 00:00:00.000 Europe/Stockholm","103"
"2020-08-17 00:00:00.000 Europe/Stockholm","95"
"2020-08-18 00:00:00.000 Europe/Stockholm","88"
"2020-08-19 00:00:00.000 Europe/Stockholm","97"
"2020-08-20 00:00:00.000 Europe/Stockholm","89"
"2020-08-21 00:00:00.000 Europe/Stockholm","102"
"2020-08-22 00:00:00.000 Europe/Stockholm","71"
"2020-08-23 00:00:00.000 Europe/Stockholm","97"
"2020-08-24 00:00:00.000 Europe/Stockholm","97"
"2020-08-25 00:00:00.000 Europe/Stockholm","79"
"2020-08-26 00:00:00.000 Europe/Stockholm","95"
"2020-08-27 00:00:00.000 Europe/Stockholm","93"
"2020-08-28 00:00:00.000 Europe/Stockholm","103"
"2020-08-29 00:00:00.000 Europe/Stockholm","64"
"2020-08-30 00:00:00.000 Europe/Stockholm","103"
"2020-08-31 00:00:00.000 Europe/Stockholm","111"
"2020-09-01 00:00:00.000 Europe/Stockholm","97"
"2020-09-02 00:00:00.000 Europe/Stockholm","100"
"2020-09-03 00:00:00.000 Europe/Stockholm","100"
"2020-09-04 00:00:00.000 Europe/Stockholm","112"
"2020-09-05 00:00:00.000 Europe/Stockholm","58"
"2020-09-06 00:00:00.000 Europe/Stockholm","100"
"2020-09-07 00:00:00.000 Europe/Stockholm","112"
"2020-09-08 00:00:00.000 Europe/Stockholm","91"
"2020-09-09 00:00:00.000 Europe/Stockholm","95"
"2020-09-10 00:00:00.000 Europe/Stockholm","102"
"2020-09-11 00:00:00.000 Europe/Stockholm","111"
"2020-09-12 00:00:00.000 Europe/Stockholm","59"
"2020-09-13 00:00:00.000 Europe/Stockholm","102"
"2020-09-14 00:00:00.000 Europe/Stockholm","105"
"2020-09-15 00:00:00.000 Europe/Stockholm","92"
"2020-09-16 00:00:00.000 Europe/Stockholm","103"
"2020-09-17 00:00:00.000 Europe/Stockholm","105"
"2020-09-18 00:00:00.000 Europe/Stockholm","108"
"2020-09-19 00:00:00.000 Europe/Stockholm","60"
"2020-09-20 00:00:00.000 Europe/Stockholm","105"
"2020-09-21 00:00:00.000 Europe/Stockholm","103"
"2020-09-22 00:00:00.000 Europe/Stockholm","94"
